Data-Hora, temp. interna, temp. externa, temp. ref., Resist./Vent. (%)
 24/1/2023-3:49:31, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:32, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:33, 36.437500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:34, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:35, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:36, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:37, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:38, 36.437500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:39, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:40, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:41, 36.437500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:42, 36.437500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:43, 36.437500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:44, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:45, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:46, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:47, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:48, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:49, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:50, 36.375000, 0.000000, 25.000000, -100.000000 %
 
